instance,count,sign,main_group,layer,frac_fb,frac_lat,frac_ff,VIC,cluster,size,r2
Li26_R,18,-1,OL internal,2.443457797782036,0.08542809500507897,0.8793236574721724,0.03524824752274862,0.16132864,,26.42040181561604,-0.3533322218545304
Li27_R,58,-1,OL internal,2.360363035018904,0.006718545741059516,0.9586436620505966,0.03463779220834392,0.09658767,,12.575227276969207,0.32470754668011786
Li28_R,6,-1,OL internal,2.000238683071827,0.20208098115592427,0.6369490338318802,0.16096998501219545,0.2923376,,46.87477681091418,-0.6745870215371987
Li29_R,4,-1,OL internal,2.00126366116382,0.22489776716796026,0.6349365347198133,0.14016569811222646,0.23939078,,134.08916992917045,-0.9642775993536401
Li30_R,6,-1,OL internal,2.630687204884869,0.2880991445124737,0.7117267282015782,0.00017412728594806546,0.1334027,,34.52035274213399,-0.437672703194367
Li31_R,1,-1,OL internal,2.841978378287402,0.5249455732946299,0.4740566037735849,0.0009978229317851959,0.11004081,,137.72637788899374,-1.0
Li32_R,1,-1,OL internal,2.8765284824555657,0.4982922018569298,0.5014191562033964,0.0002886419396738346,0.112535015,,129.14078800119137,-1.0
Li33_R,1,1,OL internal,2.8677307908261502,0.3972220640974555,0.6022940741162407,0.0004838617863038652,0.12085019,,122.1677541980194,-1.0
Li34a_R,34,-1,OL internal,2.4759915928835765,0.0594162503337973,0.9386965100426705,0.0018872396235321668,0.12018141,,16.870458468310783,0.2542628270360358
Li34b_R,30,-1,OL internal,2.093612358321435,0.025375177591643573,0.8133385621302578,0.1612862602780987,0.089510575,,14.611349607079891,-0.09027740290033726
Li35_R,13,-1,OL internal,2.626522094985304,0.15082674058583623,0.8412558452101829,0.007917414203980903,0.083327614,,32.109953674734264,-0.35929862922387645
Li36_R,1,-1,OL internal,2.2404459636818754,0.11918225315354503,0.7155284906481079,0.1652892561983471,0.085704744,,105.40708724387936,-1.0
Li37_R,1,-1,OL internal,2.222015962053438,0.04395604395604395,0.7240067624683009,0.2320371935756551,0.16392319,,142.8366831837599,-0.012733482025424792
Li38_L,1,-1,OL internal,2.0020077196351456,0.0118805999702985,0.4130983614672541,0.5750210385624474,0.21857631,,137.92156732162874,-1.0
Li39_L,1,-1,OL internal,2.167308229062869,0.10073423072644343,0.7384766566544295,0.16078911261912707,0.07115808,,117.67290504990066,-1.0
LoVC11_L,1,-1,CB input,3.420121155582942,0.5763976358879953,0.2493944385233989,0.17420792558860576,0.010598409,,61.63683602068865,-1.0
LoVC12_L,1,-1,CB input,3.515650859644505,0.6689028026237328,0.295169946332737,0.03592725104353011,0.007335902,,66.4039406859718,-1.0
LoVC13_R,1,-1,CB input,3.13824690730722,0.8679927667269439,0.12447257383966244,0.00753465943339361,0.025365291,,21.121864563084294,0.1482565195789335
LoVC14_L,1,-1,CB input,2.731422957070981,0.4858757062146893,0.5097586029789419,0.004365690806368772,0.11971019,,105.35927727625877,-1.0
LoVC15_R,3,-1,CB input,2.922691358057662,0.5532934131736527,0.3413173652694611,0.10538922155688622,0.038567696,,69.447392755648,-0.3490103558217137
LoVC16_R,2,-1,CB input,2.9414736946914037,0.7803064198063794,0.218747176755288,0.000946403438332641,0.100470886,,129.40212047683426,-1.0
LoVC17_R,2,-1,CB input,2.6651211704308864,0.24421280347713628,0.7186946959442116,0.03709250057865211,0.057679564,,127.00796994966916,-0.1262589880185072
LoVC18_R,2,0,CB input,2.6469338602298045,0.16013460410317415,0.5283699273281266,0.3114954685686993,0.059709072,,132.12970658338529,-1.0
LoVC19_R,2,1,CB input,2.766775006888521,0.5399852226740325,0.44588582269278043,0.014128954633187099,0.051901687,,109.44622282205479,-1.0
LoVC1_L,1,-1,CB input,3.1494157522010244,0.8604946996466432,0.12395759717314488,0.015547703180212015,0.013980473,,89.39724633108548,-0.4786588773179652
